UF,Idade,Sexo,Refeicao,protein_g,carbs_g,fat_g,fiber_g,sugar_g,calories,calorie_class,caloria_total,nivel_caloria
SE,37,M,ALMOCO,24.4,75.8,0.0,5.4,16.1,366.0,low,476.0,MEDIA
MS,49,F,CAFE DA MANHA,25.5,28.9,12.8,7.2,7.8,311.0,low,378.4,BAIXA
BA,18,M,CAFE DA MANHA,23.8,26.0,23.0,7.4,22.6,383.0,low,511.4,MEDIA
RR,45,M,JANTAR,38.1,77.5,15.3,5.0,21.6,601.0,medium,696.5,MEDIA
PI,50,O,LANCHE,3.6,51.9,31.1,15.8,21.2,464.0,medium,618.3,MEDIA
RJ,39,M,JANTAR,37.4,31.3,26.5,8.2,9.4,515.0,medium,567.3,MEDIA
AP,70,F,LANCHE,14.2,44.3,26.8,6.8,22.0,434.0,medium,576.8,MEDIA
GO,33,M,JANTAR,25.4,76.3,16.4,6.9,17.8,549.0,medium,639.4,MEDIA
RS,26,O,CAFE DA MANHA,33.7,45.2,31.9,8.2,40.0,630.0,medium,779.1,ALTA
RR,51,M,ALMOCO,26.8,78.6,15.2,4.8,18.6,591.0,medium,642.4,MEDIA
MS,73,M,LANCHE,15.8,77.8,34.3,8.1,10.4,650.0,medium,740.9,ALTA
RO,41,F,CAFE DA MANHA,23.1,24.9,15.8,11.9,10.8,350.0,low,401.2,MEDIA
RR,20,M,CAFE DA MANHA,27.9,45.1,24.4,6.7,0.0,598.0,medium,525.0,MEDIA
MT,79,M,LANCHE,28.1,64.1,12.3,4.6,11.2,491.0,medium,533.5,MEDIA
SP,45,O,JANTAR,24.7,51.5,40.0,16.5,20.3,666.0,medium,779.0,ALTA
ES,28,F,LANCHE,13.5,14.6,12.8,3.3,25.8,222.0,low,337.4,BAIXA
DF,56,F,CAFE DA MANHA,19.2,60.7,34.6,4.5,15.5,623.0,medium,702.0,ALTA
RJ,38,F,JANTAR,16.8,78.3,21.7,7.1,11.3,600.0,medium,635.1,MEDIA
PI,77,F,CAFE DA MANHA,28.2,52.6,14.1,12.0,11.4,450.0,medium,519.7,MEDIA
AM,36,F,CAFE DA MANHA,43.2,53.1,14.9,7.1,19.1,498.0,medium,609.9,MEDIA
RR,52,F,JANTAR,38.9,60.6,29.4,13.3,15.9,616.0,medium,752.8,ALTA
CE,52,M,LANCHE,10.9,52.8,30.9,11.9,21.6,514.0,medium,643.1,MEDIA
RO,33,M,JANTAR,12.6,47.5,10.6,2.9,3.5,365.0,low,355.6,BAIXA
AC,49,F,JANTAR,35.5,44.0,27.5,10.9,26.7,531.0,medium,694.1,MEDIA
RO,24,F,LANCHE,32.0,35.3,23.6,3.3,16.5,471.0,medium,554.2,MEDIA
RO,58,F,ALMOCO,25.2,45.8,13.1,7.1,7.0,402.0,medium,444.1,MEDIA
RO,65,M,ALMOCO,24.8,44.9,21.9,10.3,19.0,434.0,medium,572.5,MEDIA
PI,77,M,JANTAR,17.1,48.0,33.5,9.7,0.0,578.0,medium,581.3,MEDIA
MG,38,F,JANTAR,31.5,50.0,25.5,6.5,11.7,533.0,medium,615.3,MEDIA
RN,35,F,ALMOCO,40.3,53.5,5.7,8.1,16.5,430.0,medium,508.7,MEDIA
ES,52,M,ALMOCO,18.8,56.1,26.9,0.0,19.1,571.0,medium,618.1,MEDIA
RO,61,F,ALMOCO,8.7,72.4,15.5,7.6,38.3,505.0,medium,632.3,MEDIA
PR,80,F,ALMOCO,10.9,23.6,8.2,5.0,27.5,178.0,low,331.8,BAIXA
MG,19,O,JANTAR,27.1,35.0,13.2,10.3,21.4,431.0,medium,473.4,MEDIA
PA,33,M,CAFE DA MANHA,34.8,53.1,17.2,10.7,16.6,530.0,medium,594.2,MEDIA
PR,34,O,ALMOCO,35.6,29.3,16.0,0.0,2.0,401.0,medium,411.6,MEDIA
AL,34,F,JANTAR,38.2,31.1,16.0,4.2,2.1,425.0,medium,438.0,MEDIA
AM,47,F,ALMOCO,34.5,52.3,17.2,8.7,21.6,528.0,medium,605.8,MEDIA
DF,72,M,ALMOCO,34.5,42.3,19.2,8.1,16.4,450.0,medium,561.8,MEDIA
AM,19,F,ALMOCO,26.5,70.5,20.8,2.8,23.5,609.0,medium,674.8,MEDIA
MS,69,F,CAFE DA MANHA,25.1,64.0,27.5,11.7,12.3,620.0,medium,676.5,MEDIA
RJ,56,M,CAFE DA MANHA,27.1,51.9,11.5,10.6,27.2,423.0,medium,549.5,MEDIA
PI,56,M,CAFE DA MANHA,16.9,49.4,15.8,10.4,15.9,435.0,medium,491.8,MEDIA
MG,60,F,CAFE DA MANHA,5.7,54.7,30.1,1.2,4.4,490.0,medium,532.5,MEDIA
SC,25,F,CAFE DA MANHA,31.5,35.7,13.8,3.5,9.7,410.0,medium,438.8,MEDIA
PR,65,M,ALMOCO,16.4,66.9,23.4,8.0,8.3,523.0,medium,593.0,MEDIA
AP,33,M,CAFE DA MANHA,30.2,48.5,25.0,7.9,15.9,590.0,medium,619.2,MEDIA
RS,50,M,JANTAR,22.7,5.1,18.2,0.1,14.9,305.0,low,334.8,BAIXA
PR,60,O,CAFE DA MANHA,24.4,10.3,29.7,10.7,22.6,429.0,medium,517.9,MEDIA
PI,56,O,ALMOCO,24.7,49.4,12.6,2.2,2.7,383.0,low,425.0,MEDIA
PR,38,M,JANTAR,12.4,49.2,14.2,5.3,10.0,463.0,medium,424.8,MEDIA
PB,42,M,CAFE DA MANHA,24.5,16.7,14.0,4.3,10.8,288.0,low,342.6,BAIXA
AP,48,M,ALMOCO,37.9,79.9,11.9,4.8,12.4,547.0,medium,637.5,MEDIA
PR,20,F,JANTAR,22.0,70.7,11.4,12.2,11.7,476.0,medium,544.6,MEDIA
RO,63,F,LANCHE,24.1,59.2,6.6,7.5,15.3,445.0,medium,468.8,MEDIA
GO,24,F,CAFE DA MANHA,24.0,19.1,17.2,14.3,1.9,305.0,low,363.4,BAIXA
PE,46,M,LANCHE,22.8,16.9,20.9,10.7,18.6,307.0,low,442.7,MEDIA
AC,59,M,LANCHE,18.8,5.6,24.6,0.1,7.1,308.0,low,347.6,BAIXA
MA,23,M,ALMOCO,29.5,51.2,19.7,6.6,19.1,510.0,medium,589.7,MEDIA
MS,80,F,CAFE DA MANHA,31.5,62.3,31.4,7.3,25.1,631.0,medium,772.8,ALTA
TO,41,F,CAFE DA MANHA,2.8,45.0,9.8,3.4,23.2,302.0,low,379.0,BAIXA
CE,18,F,JANTAR,31.3,47.9,14.3,6.3,10.9,451.0,medium,501.7,MEDIA
ES,59,M,ALMOCO,42.1,29.4,21.1,4.6,0.0,440.0,medium,485.1,MEDIA
MS,53,O,CAFE DA MANHA,24.0,15.8,19.9,9.0,22.9,362.0,low,447.9,MEDIA
TO,58,M,ALMOCO,20.2,72.8,22.5,10.8,0.9,616.0,medium,599.7,MEDIA
SC,65,F,JANTAR,36.8,38.6,23.5,2.3,20.1,486.0,medium,598.1,MEDIA
AC,47,F,CAFE DA MANHA,14.7,34.3,19.0,5.3,11.4,320.0,low,423.2,MEDIA
DF,70,F,CAFE DA MANHA,26.9,27.2,26.4,9.2,2.7,431.0,medium,483.2,MEDIA
RR,41,F,ALMOCO,19.5,47.8,18.4,13.5,23.7,429.0,medium,556.6,MEDIA
AL,52,M,LANCHE,18.3,83.9,1.4,10.7,28.0,438.0,medium,554.8,MEDIA
SC,27,F,ALMOCO,50.6,31.9,21.4,11.4,28.5,504.0,medium,659.4,MEDIA
ES,57,M,JANTAR,5.9,56.0,15.0,7.6,17.4,399.0,low,467.4,MEDIA
SP,34,F,CAFE DA MANHA,36.6,55.2,19.0,10.5,16.6,565.0,medium,625.6,MEDIA
ES,61,M,ALMOCO,25.3,60.7,21.7,14.3,8.2,563.0,medium,600.7,MEDIA
MS,68,M,ALMOCO,23.6,57.0,21.9,6.5,4.3,547.0,medium,549.7,MEDIA
PI,72,M,ALMOCO,26.7,49.1,24.1,4.4,32.0,482.0,medium,656.9,MEDIA
AM,76,M,ALMOCO,36.7,99.2,17.5,5.8,11.1,690.0,medium,757.1,ALTA
PR,25,F,LANCHE,20.8,53.2,15.6,15.7,5.7,411.0,medium,490.6,MEDIA
PA,26,F,ALMOCO,38.9,53.0,18.1,7.2,3.9,563.0,medium,560.5,MEDIA
RO,76,M,LANCHE,27.8,37.9,15.3,14.8,6.4,426.0,medium,455.7,MEDIA
TO,41,O,CAFE DA MANHA,35.8,85.0,29.3,3.7,23.4,745.0,high,847.9,ALTA
PI,19,O,LANCHE,49.3,71.2,14.8,1.8,17.2,588.0,medium,687.6,MEDIA
MS,36,M,ALMOCO,10.6,47.8,15.0,10.1,15.8,412.0,medium,452.0,MEDIA
MT,70,M,ALMOCO,41.0,27.5,22.2,13.1,9.9,461.0,medium,539.6,MEDIA
MS,40,F,CAFE DA MANHA,23.4,91.6,10.2,12.1,27.4,557.0,medium,685.6,MEDIA
RO,22,F,JANTAR,29.0,46.7,14.2,13.8,7.6,438.0,medium,488.6,MEDIA
GO,63,M,JANTAR,27.4,58.3,21.5,8.6,9.3,527.0,medium,590.7,MEDIA
BA,30,F,JANTAR,18.5,46.8,7.0,6.6,6.8,333.0,low,364.6,BAIXA
MA,40,M,JANTAR,33.4,63.7,34.6,9.2,12.8,704.0,high,769.4,ALTA
AC,18,M,CAFE DA MANHA,17.2,48.9,11.1,6.0,27.7,333.0,low,487.1,MEDIA
AP,55,F,ALMOCO,32.1,24.6,29.7,9.3,20.7,500.0,medium,595.5,MEDIA
AP,46,F,ALMOCO,18.9,82.7,28.4,5.5,13.8,646.0,medium,728.2,ALTA
RS,72,F,JANTAR,26.7,38.0,22.5,10.3,7.7,448.0,medium,512.7,MEDIA
RN,39,M,CAFE DA MANHA,29.6,48.6,13.5,7.7,15.0,393.0,low,509.7,MEDIA
RJ,30,M,CAFE DA MANHA,27.6,30.9,7.9,8.2,13.3,310.0,low,374.7,BAIXA
MG,28,M,LANCHE,8.9,62.6,25.4,2.3,15.7,522.0,medium,582.0,MEDIA
RN,30,M,CAFE DA MANHA,21.9,54.1,27.1,17.0,15.6,547.0,medium,644.3,MEDIA
BA,46,M,LANCHE,10.2,10.4,14.6,9.1,15.5,189.0,low,294.0,BAIXA
SP,23,F,ALMOCO,19.6,38.5,12.4,0.0,27.1,305.0,low,452.4,MEDIA
PA,43,F,LANCHE,22.1,108.9,12.9,8.5,6.3,668.0,medium,682.3,MEDIA
SE,71,F,JANTAR,32.8,33.2,19.4,5.7,21.1,454.0,medium,534.4,MEDIA
BA,66,M,LANCHE,48.2,68.2,35.1,7.3,22.1,815.0,high,884.5,ALTA
PA,58,M,CAFE DA MANHA,20.3,108.7,30.2,9.2,15.1,756.0,high,866.6,ALTA
RJ,74,F,CAFE DA MANHA,15.1,87.8,19.4,7.8,9.9,573.0,medium,641.4,MEDIA
PA,67,M,CAFE DA MANHA,12.2,52.8,23.5,10.5,19.8,444.0,medium,571.7,MEDIA
MG,59,F,CAFE DA MANHA,35.5,43.1,27.8,4.8,16.7,603.0,medium,641.0,MEDIA
BA,72,M,LANCHE,11.6,45.3,31.5,7.9,21.6,454.0,medium,613.3,MEDIA
MT,25,F,ALMOCO,24.4,31.9,20.3,8.1,13.8,379.0,low,479.3,MEDIA
DF,69,F,CAFE DA MANHA,24.8,17.4,24.0,4.7,21.5,322.0,low,480.2,MEDIA
GO,36,F,CAFE DA MANHA,26.8,69.7,20.0,8.5,6.0,591.0,medium,607.0,MEDIA
RJ,64,F,JANTAR,24.6,28.5,19.9,8.9,16.3,402.0,medium,474.5,MEDIA
PI,75,F,CAFE DA MANHA,26.5,40.7,24.6,8.6,24.7,452.0,medium,606.2,MEDIA
PE,49,M,ALMOCO,19.6,20.4,6.3,8.5,5.8,208.0,low,256.9,BAIXA
MA,23,F,ALMOCO,27.0,61.0,28.7,5.6,4.8,540.0,medium,640.7,MEDIA
SE,41,F,CAFE DA MANHA,18.1,36.9,19.7,10.8,5.4,423.0,medium,440.5,MEDIA
AP,43,O,JANTAR,18.3,69.5,31.6,15.0,0.0,640.0,medium,665.6,MEDIA
MA,77,M,CAFE DA MANHA,23.8,46.6,17.9,1.2,0.0,462.0,medium,445.1,MEDIA
AM,77,M,LANCHE,15.8,49.1,22.6,12.3,25.6,471.0,medium,590.0,MEDIA
MA,53,F,LANCHE,31.8,69.2,13.4,7.7,24.0,469.0,medium,636.0,MEDIA
SE,77,F,JANTAR,21.3,59.4,25.4,8.1,11.9,527.0,medium,615.2,MEDIA
MA,45,M,LANCHE,29.3,71.7,15.2,18.4,19.5,540.0,medium,655.6,MEDIA
SP,43,M,LANCHE,12.6,51.1,21.7,8.6,15.9,482.0,medium,530.9,MEDIA
PA,70,M,ALMOCO,18.5,52.7,18.1,1.8,12.5,433.0,medium,501.3,MEDIA
RJ,60,F,ALMOCO,27.7,76.0,26.3,4.9,10.8,691.0,medium,704.5,ALTA
MG,50,M,LANCHE,26.0,40.1,33.5,12.4,7.0,525.0,medium,618.7,MEDIA
ES,46,M,LANCHE,13.0,58.3,22.3,11.2,11.3,500.0,medium,553.5,MEDIA
RS,62,M,ALMOCO,24.2,59.7,22.2,9.8,11.1,599.0,medium,599.4,MEDIA
TO,65,O,CAFE DA MANHA,23.9,41.9,16.2,7.5,22.2,452.0,medium,512.8,MEDIA
ES,48,M,ALMOCO,18.1,60.6,17.4,10.9,0.0,519.0,medium,493.2,MEDIA
RO,19,M,ALMOCO,50.9,54.0,27.9,8.8,15.4,709.0,high,749.9,ALTA
ES,24,F,CAFE DA MANHA,14.7,52.8,26.6,7.4,11.9,526.0,medium,571.8,MEDIA
RN,27,M,ALMOCO,12.9,67.6,31.5,7.7,13.3,611.0,medium,674.1,MEDIA
RO,47,O,CAFE DA MANHA,21.1,34.3,21.1,11.2,18.2,416.0,medium,506.7,MEDIA
MG,56,O,LANCHE,22.1,27.4,22.4,6.4,6.7,375.0,low,439.2,MEDIA
RN,68,M,LANCHE,25.2,5.8,16.5,13.5,26.6,278.0,low,405.9,MEDIA
ES,32,M,LANCHE,15.6,40.4,20.5,4.5,1.3,413.0,medium,422.7,MEDIA
AP,67,M,LANCHE,26.1,63.8,11.3,9.2,8.6,430.0,medium,514.1,MEDIA
AP,59,M,CAFE DA MANHA,37.5,99.9,26.2,6.1,34.0,811.0,high,933.6,ALTA
MG,21,M,CAFE DA MANHA,23.5,54.9,42.6,8.3,8.3,690.0,medium,746.8,ALTA
SP,40,M,LANCHE,28.8,55.0,26.1,3.2,22.8,596.0,medium,667.7,MEDIA
AM,37,M,JANTAR,37.7,40.0,26.4,8.0,21.9,572.0,medium,652.0,MEDIA
MG,73,F,LANCHE,27.0,44.2,19.0,8.2,9.5,489.0,medium,510.2,MEDIA
RN,76,M,LANCHE,7.2,62.3,28.2,8.5,18.3,548.0,medium,622.0,MEDIA
CE,69,M,LANCHE,6.3,58.3,12.1,3.6,26.0,385.0,low,478.5,MEDIA
RN,51,F,LANCHE,25.2,45.6,27.2,6.9,5.5,523.0,medium,563.8,MEDIA
GO,49,M,LANCHE,27.9,36.9,21.4,8.8,18.4,458.0,medium,543.0,MEDIA
RO,37,M,LANCHE,22.9,72.0,6.5,7.1,21.8,454.0,medium,539.5,MEDIA
PR,66,M,CAFE DA MANHA,21.7,13.7,23.6,6.8,19.5,328.0,low,445.6,MEDIA
PB,23,M,CAFE DA MANHA,34.0,51.6,1.2,5.5,26.1,368.0,low,468.6,MEDIA
BA,35,M,ALMOCO,12.5,38.2,19.9,11.2,0.0,402.0,medium,404.3,MEDIA
MG,26,F,ALMOCO,15.3,64.1,10.3,7.9,17.4,393.0,low,495.7,MEDIA
SC,49,O,LANCHE,10.8,48.4,13.8,2.8,17.3,386.0,low,435.8,MEDIA
AC,36,M,ALMOCO,43.8,34.1,34.8,7.8,22.7,590.0,medium,731.2,ALTA
RS,30,M,ALMOCO,10.2,52.7,29.9,9.9,26.1,496.0,medium,644.9,MEDIA
PA,41,F,LANCHE,24.7,38.4,35.0,8.5,21.8,587.0,medium,671.6,MEDIA
RN,72,F,CAFE DA MANHA,29.7,25.1,30.3,5.6,17.3,470.0,medium,572.3,MEDIA
PI,53,M,JANTAR,10.5,44.5,27.1,7.0,2.7,448.0,medium,488.7,MEDIA
MS,69,M,CAFE DA MANHA,28.7,32.1,24.4,3.9,8.9,451.0,medium,506.2,MEDIA
GO,75,M,ALMOCO,20.9,56.6,13.5,5.0,26.4,398.0,low,547.1,MEDIA
PE,74,F,ALMOCO,30.1,64.3,23.8,7.9,12.0,635.0,medium,655.6,MEDIA
AM,40,M,ALMOCO,22.0,33.7,21.0,4.6,4.1,401.0,medium,437.4,MEDIA
PR,73,M,CAFE DA MANHA,35.4,72.5,22.7,8.7,15.0,677.0,medium,713.3,ALTA
AP,75,M,CAFE DA MANHA,26.1,25.3,31.8,3.0,28.8,489.0,medium,613.0,MEDIA
PI,78,M,ALMOCO,54.9,18.3,15.8,10.9,17.7,445.0,medium,527.6,MEDIA
PE,40,F,ALMOCO,28.7,78.2,29.5,11.0,11.1,706.0,high,759.5,ALTA
AP,32,F,LANCHE,19.5,38.4,19.0,6.3,15.3,400.0,low,476.4,MEDIA
RS,54,F,CAFE DA MANHA,25.9,37.5,29.0,9.8,0.4,547.0,medium,535.8,MEDIA
MS,76,M,ALMOCO,33.6,36.4,8.4,5.1,3.3,358.0,low,379.0,BAIXA
RO,74,M,CAFE DA MANHA,39.1,85.9,19.7,9.3,0.1,684.0,medium,696.3,MEDIA
AL,53,F,JANTAR,22.4,32.5,21.6,7.2,9.7,439.0,medium,467.2,MEDIA
BA,27,F,LANCHE,5.2,44.3,24.8,0.0,0.0,454.0,medium,421.2,MEDIA
PA,44,M,JANTAR,22.9,38.2,15.2,5.4,13.0,364.0,low,444.0,MEDIA
CE,62,M,JANTAR,21.7,53.0,37.4,5.5,8.2,649.0,medium,679.2,MEDIA
GO,53,F,ALMOCO,11.4,40.6,20.2,5.5,17.6,431.0,medium,471.2,MEDIA
PI,39,F,LANCHE,25.9,55.4,12.3,15.3,2.8,442.0,medium,477.7,MEDIA
AM,39,F,ALMOCO,26.5,44.8,26.0,4.5,6.6,485.0,medium,554.6,MEDIA
RJ,21,F,JANTAR,32.1,22.5,22.3,8.6,22.4,439.0,medium,525.9,MEDIA
AP,36,M,ALMOCO,27.6,28.5,19.4,10.4,27.5,471.0,medium,529.8,MEDIA
BA,60,M,ALMOCO,25.7,26.4,20.1,6.6,15.0,342.0,low,462.5,MEDIA
PR,33,M,JANTAR,31.2,39.9,6.9,11.0,12.6,352.0,low,418.9,MEDIA
RO,80,F,JANTAR,40.2,42.3,9.1,12.2,7.8,345.0,low,467.5,MEDIA
BA,23,F,JANTAR,25.4,63.2,12.1,11.1,0.0,484.0,medium,485.5,MEDIA
GO,55,M,CAFE DA MANHA,23.4,73.2,13.1,7.1,30.9,519.0,medium,642.1,MEDIA
SP,49,F,CAFE DA MANHA,17.9,54.6,23.0,9.3,5.5,525.0,medium,537.6,MEDIA
TO,70,M,ALMOCO,13.5,29.4,22.0,8.4,33.7,378.0,low,521.2,MEDIA
PR,73,M,ALMOCO,18.9,63.8,21.8,9.0,13.0,575.0,medium,597.0,MEDIA
MG,52,M,ALMOCO,33.1,16.0,36.4,8.1,7.4,520.0,medium,569.8,MEDIA
MA,57,F,ALMOCO,20.5,38.1,11.1,15.0,15.6,330.0,low,426.7,MEDIA
PE,62,O,LANCHE,36.2,38.9,22.0,4.1,30.0,422.0,medium,626.6,MEDIA
